,director,country,date_added,imdbRating,imdbVotes,language,time,season,type_Movie,type_TV Show,genre,cast_shows,cast_movies
77,0,1,2018.0,7.0,515.0,1,0,1 ,1.0,0.0,0.0,0.0,0.0
78,0,0,2017.0,6.6,89665.0,0,127 ,0,1.0,0.0,0.0,0.0,0.0
79,0,0,2017.0,6.8,93624.0,0,108 ,0,1.0,0.0,0.0,0.0,0.0
81,0,0,2017.0,6.9,11293.0,1,117 ,0,1.0,0.0,0.0,0.0,0.0
82,0,0,2017.0,6.3,1861.0,1,106 ,0,1.0,0.0,0.0,0.0,0.0
83,0,0,2017.0,7.5,151.0,0,0,1 ,0.0,1.0,0.0,0.0,0.0
84,0,0,2017.0,6.3,46.0,0,102 ,0,0.0,1.0,0.0,0.0,0.0
85,0,0,2015.0,6.5,571.0,0,0,1 ,1.0,0.0,0.0,0.0,0.0
87,0,0,2019.0,5.9,64649.0,1,0,1 ,1.0,0.0,0.0,0.0,0.0
88,0,1,2019.0,5.4,97.0,1,0,1 ,1.0,0.0,0.0,0.0,0.0
90,0,0,2018.0,6.5,3626.0,0,104 ,0,1.0,0.0,0.0,0.0,0.0
91,0,1,2018.0,5.6,33289.0,1,75 ,0,1.0,0.0,0.0,0.0,0.0
93,0,0,2018.0,4.0,702.0,0,108 ,0,0.0,1.0,0.0,0.0,0.0
94,0,0,2018.0,6.8,622.0,0,0,1 ,1.0,0.0,0.0,0.0,0.0
95,0,1,2018.0,5.1,1130.0,1,103 ,0,1.0,0.0,0.0,0.0,0.0
96,0,1,2018.0,7.6,1070.0,1,82 ,0,1.0,0.0,0.0,0.0,0.0
97,0,1,2018.0,6.4,609.0,1,94 ,0,1.0,0.0,0.0,0.0,0.0
98,0,1,2017.0,7.2,494.0,1,100 ,0,1.0,0.0,0.0,0.0,0.0
99,0,1,2019.0,7.0,9105.0,1,38 ,0,0.0,1.0,0.0,0.0,0.0
100,0,0,2019.0,4.5,2290.0,0,97 ,0,1.0,0.0,0.0,0.0,0.0
101,0,0,2019.0,6.1,181.0,1,89 ,0,0.0,1.0,0.0,0.0,0.0
102,0,1,2019.0,6.2,40894.0,1,130 ,0,1.0,0.0,0.0,0.0,0.0
103,0,1,2019.0,4.7,2734.0,1,110 ,0,0.0,1.0,0.0,0.0,0.0
105,0,0,2019.0,7.5,18041.0,1,91 ,0,0.0,1.0,0.0,0.0,0.0
